892,894,923,916,0,140,114
1445,809,1463,844,0,68,186
1495,765,1522,789,0,162,92
70,569,98,595,0,165,89
1438,398,1460,421,0,151,103
648,338,679,360,0,59,195
2,63,22,90,0,89,165
1010,190,1025,208,0,255,0
1076,270,1092,288,0,255,0
883,336,904,351,0,255,0
882,318,897,338,0,255,0
943,296,957,314,0,255,0
942,278,960,298,0,255,0
1239,781,1255,803,0,255,0
1346,654,1362,674,0,255,0
1175,868,1189,900,0,255,0
546,845,563,856,0,255,0
819,693,838,715,0,255,0
824,679,841,695,0,255,0
301,467,329,497,0,255,0
115,99,147,117,0,255,0
109,240,131,260,0,255,0
37,210,57,228,0,255,0
1562,491,1587,514,0,255,0
34,35,53,61,0,255,0
391,632,407,654,0,255,0
378,622,395,640,0,255,0
382,841,400,854,0,255,0
84,594,99,610,0,255,0
