1094,987,1120,1010,0,161,93
384,919,422,939,0,87,167
301,791,336,819,0,122,132
352,543,375,581,0,93,161
1095,318,1120,341,0,140,114
1542,303,1577,330,0,94,160
693,297,717,325,0,149,105
1075,279,1108,318,0,72,182
950,260,984,277,0,51,203
904,225,934,271,0,123,131
251,195,279,222,0,154,100
739,151,757,182,0,52,202
651,76,674,106,0,108,146
175,866,193,888,0,255,0
677,135,700,153,0,255,0
690,63,707,79,0,255,0
187,413,211,435,0,255,0
72,176,88,194,0,255,0
1113,216,1142,264,0,255,0
1087,244,1112,274,0,255,0
1503,129,1533,149,0,255,0
